SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 195)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 196)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 197)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 198)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 199)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 200)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 201)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 202)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 203)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 204)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 205)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 206)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 207)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 208)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 209)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 210)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 211)  returns 0 (0001ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 212)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 213)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 214)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 215)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 216)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 217)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 218)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 219)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 220)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 221)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 222)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 223)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 224)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 225)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 226)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 227)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 228)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 229)  returns 0 (0000ms, 0157ms total)
T3ED8 008:932 JLINK_DEVICE_GetInfo(DeviceIndex = 230)  returns 0 (0000ms, 0157ms total)
